Title,Grant Amount,Grant Term Start,Grant Term End,Description,Initiative,Grant Status,Grantee Address
New York Botanical Garden 2025,500000.0,2025-05-01,2028-04-30,in support of integrating regenerative mixed cropping practices for enhanced nutritional security and climate resilience in school feeding programs to benefit underserved Kenyan children ,Food Initiative,Unknown,"2900 Southern Boulevard, Bronx, NY 10458, United States of America"
American Heart Association 2025,500000.0,2025-05-01,2026-04-30,in support of the Periodic Table of Food Initiative efforts to catalog the full composition of the world's edible biodiversity and to continue fostering a food systems transformation for improved human and planetary health.,Food Initiative,Unknown,"7272 Greenville Avenue, Dallas, TX 75231, United States of America"
Bioversity International 2025,250100.0,2025-05-01,2025-12-31,in support of expanding indigenous food systems that benefit vulnerable children and rural communities globally,Food Initiative,Unknown,"Via di S. Domenico 1, Roma,  00153, Italy"
Rocky Mountain Institute/RMI 2025,1500000.0,2025-04-01,2026-03-31,"in support of transitioning planned coal assets to clean alternatives to improve air quality and achieve reliable and affordable power grid for people in Philippines,  Indonesia, and Pakistan.",Power and Climate,Unknown,"2490 Junction Place, Suite 200, Boulder, CO 80301, United States of America"
Global Resilient Cities Network 2025,600000.0,2025-04-01,2027-05-31,in support of strengthening the climate resilience of cities to protect the most vulnerable populations globally,Strategic Opportunities Fund,Unknown,"28 Liberty Street, 34th Floor, New York, NY 10005, United States of America"
American Red Cross 2025,247290.0,2025-04-01,2025-12-31,in support of qualitative research to advance people centered heat-health actions.,Health Initiative,Unknown,"431 18th Street NW, Washington, DC, District of Columbia 20006, United States of America"
Wits Health Consortium (Proprietary ) Limited 2025,150000.0,2025-04-01,2025-12-31,"in support of developing resources to promote integrated public health responses to extreme weather events, with the aim of improving health outcomes and protecting the most vulnerable populations in Africa and globally.",Health Initiative,Unknown,"31 Princess of Wales Terrace, Parktown, Johannesburg,  2193, South Africa"
World Meteorological Organization 2025,5211333.0,2025-04-01,2029-03-31,in support of the design and validation of a global accelerator network to accelerate the scale and reach of health services in climate-vulnerable countries,Health Initiative,Unknown,"7 bis Avenue de la Paix, CH 1211, Geneva 2,, Switzerland"
"International Centre for Diarrhoeal Disease Research, Bangladesh 2025",850000.0,2025-04-01,2028-03-31,in support of developing publicly available resources and tools that protect agricultural workers from the health impacts of extreme heat in Bangladesh,Health Initiative,Unknown,"68, Shaheed Tajuddin Ahmed Sarani, Mohakhali, Dhaka 1212, Bangladesh"
Project HOPE 2025,30000.0,2025-04-01,2025-09-30,"in support of a Health Affairs journal issue on Food, Nutrition and Health to inform the public and policymakers on the challenges and proposed solutions to food insecurity and diet-related chronic illness ",Food Initiative,Unknown,"1220 19th St NW Suite 800, Washington DC,  20036, United States of America"
